iter	Passed	Remaining
0	156	156502
1	160	80193
2	165	54951
3	168	42078
4	172	34370
5	176	29304
6	179	25532
7	182	22645
8	184	20343
9	187	18518
10	188	16991
11	190	15695
12	192	14590
13	193	13625
14	194	12793
15	196	12074
16	197	11421
17	198	10838
18	199	10312
19	200	9837
20	202	9417
21	203	9039
22	204	8679
23	205	8345
24	206	8038
25	206	7753
26	207	7490
27	208	7248
28	209	7024
29	210	6816
30	211	6622
31	212	6436
32	213	6262
33	214	6097
34	215	5946
35	216	5810
36	218	5675
37	219	5544
38	220	5421
39	221	5304
40	222	5193
41	222	5086
42	223	4984
43	225	4889
44	225	4795
45	226	4706
46	227	4621
47	228	4540
48	229	4462
49	231	4391
50	232	4318
51	233	4249
52	234	4182
53	235	4117
54	236	4055
55	236	3994
56	237	3934
57	238	3879
58	239	3826
59	240	3774
60	241	3724
61	242	3673
62	243	3625
63	245	3585
64	246	3540
65	247	3496
66	248	3453
67	248	3411
68	249	3371
69	250	3331
70	251	3293
71	252	3256
72	253	3221
73	254	3186
74	255	3152
75	256	3119
76	257	3086
77	258	3056
78	259	3025
79	260	2995
80	261	2966
81	262	2937
82	262	2904
83	263	2877
84	264	2850
85	265	2823
86	266	2798
87	267	2773
88	268	2749
89	269	2725
90	270	2701
91	271	2678
92	272	2655
93	273	2634
94	274	2613
95	275	2591
96	276	2570
97	276	2549
98	277	2529
99	278	2509
100	279	2489
101	280	2470
102	281	2451
103	282	2432
104	283	2413
105	283	2394
106	284	2376
107	285	2359
108	286	2342
109	287	2326
110	288	2310
111	289	2296
112	290	2281
113	291	2266
114	292	2251
115	293	2236
116	294	2222
117	295	2207
118	296	2193
119	297	2180
120	298	2165
121	298	2151
122	300	2139
123	301	2127
124	302	2115
125	303	2102
126	303	2088
127	304	2075
128	305	2062
129	306	2049
130	307	2037
131	308	2025
132	308	2013
133	309	2001
134	310	1990
135	311	1978
136	312	1967
137	313	1956
138	314	1945
139	314	1934
140	316	1925
141	316	1914
142	317	1903
143	318	1893
144	319	1883
145	320	1873
146	321	1863
147	321	1853
148	322	1843
149	323	1834
150	324	1824
151	325	1814
152	326	1805
153	326	1795
154	327	1786
155	328	1777
156	329	1768
157	330	1760
158	331	1752
159	332	1744
160	332	1734
161	333	1726
162	334	1718
163	335	1710
164	336	1701
165	337	1694
166	338	1685
167	338	1678
168	339	1670
169	340	1662
170	341	1655
171	342	1647
172	343	1641
173	344	1633
174	345	1627
175	346	1620
176	347	1613
177	347	1606
178	348	1599
179	349	1591
180	350	1585
181	351	1578
182	352	1571
183	352	1565
184	353	1557
185	354	1551
186	355	1544
187	356	1538
188	357	1532
189	358	1526
190	358	1520
191	359	1514
192	360	1508
193	361	1502
194	362	1497
195	363	1491
196	364	1485
197	365	1480
198	366	1475
199	367	1470
200	368	1465
201	369	1460
202	370	1454
203	371	1449
204	372	1444
205	373	1439
206	374	1435
207	375	1430
208	376	1425
209	377	1419
210	378	1414
211	379	1409
212	379	1403
213	380	1398
214	381	1393
215	382	1389
216	383	1384
217	384	1379
218	385	1375
219	386	1370
220	387	1365
221	388	1361
222	389	1357
223	390	1352
224	391	1347
225	392	1342
226	392	1337
227	393	1333
228	394	1328
229	395	1323
230	396	1319
231	397	1314
232	398	1311
233	399	1307
234	400	1304
235	401	1300
236	402	1297
237	404	1294
238	405	1289
239	405	1285
240	406	1281
241	407	1277
242	408	1273
243	409	1269
244	410	1264
245	411	1261
246	412	1257
247	413	1253
248	414	1249
249	415	1245
250	416	1242
251	417	1238
252	418	1235
253	419	1231
254	420	1227
255	421	1223
256	421	1219
257	422	1216
258	423	1212
259	424	1208
260	425	1205
261	426	1201
262	427	1197
263	428	1194
264	429	1190
265	430	1186
266	430	1183
267	432	1180
268	432	1176
269	433	1172
270	434	1168
271	435	1165
272	436	1161
273	437	1158
274	437	1154
275	438	1151
276	439	1147
277	440	1144
278	441	1140
279	442	1137
280	443	1133
281	443	1130
282	444	1126
283	445	1123
284	446	1120
285	447	1117
286	448	1113
287	449	1110
288	450	1107
289	450	1104
290	451	1100
291	452	1097
292	453	1094
293	454	1091
294	455	1088
295	456	1084
296	456	1081
297	457	1078
298	458	1075
299	459	1072
300	460	1069
301	461	1066
302	462	1063
303	463	1061
304	464	1058
305	465	1055
306	466	1052
307	467	1050
308	468	1047
309	469	1044
310	469	1041
311	470	1037
312	471	1035
313	472	1032
314	473	1029
315	474	1026
316	475	1024
317	476	1021
318	477	1018
319	478	1016
320	479	1013
321	480	1011
322	481	1008
323	482	1005
324	483	1003
325	483	1000
326	484	997
327	485	995
328	486	993
329	488	990
330	489	988
331	490	986
332	491	984
333	492	981
334	493	979
335	494	976
336	494	973
337	495	971
338	496	968
339	497	965
340	498	963
341	499	960
342	499	957
343	500	955
344	501	952
345	502	949
346	503	947
347	504	945
348	505	942
349	506	940
350	507	937
351	508	935
352	508	932
353	509	930
354	510	927
355	511	924
356	512	922
357	513	920
358	513	917
359	514	915
360	515	913
361	516	910
362	517	908
363	518	906
364	519	904
365	520	901
366	521	899
367	522	896
368	523	894
369	523	892
370	524	889
371	525	887
372	526	884
373	527	882
374	528	880
375	529	878
376	529	875
377	530	873
378	531	871
379	532	868
380	533	866
381	534	864
382	535	862
383	536	859
384	536	857
385	537	855
386	538	853
387	539	850
388	540	848
389	541	846
390	541	844
391	542	841
392	543	839
393	544	837
394	545	835
395	546	833
396	547	831
397	548	829
398	549	827
399	550	825
400	551	823
401	552	821
402	553	819
403	553	817
404	554	814
405	555	812
406	556	810
407	557	808
408	558	806
409	559	804
410	559	802
411	560	800
412	561	798
413	562	796
414	563	794
415	564	792
416	565	790
417	566	788
418	566	786
419	567	783
420	568	781
421	569	779
422	570	777
423	570	775
424	571	773
425	572	771
426	573	769
427	574	767
428	575	765
429	576	764
430	577	762
431	578	760
432	579	758
433	579	756
434	580	754
435	581	752
436	582	750
437	583	748
438	584	746
439	585	744
440	585	742
441	586	740
442	587	738
443	588	736
444	589	734
445	590	733
446	591	731
447	592	729
448	593	727
449	593	725
450	594	724
451	595	722
452	596	720
453	597	718
454	598	716
455	599	714
456	599	712
457	600	711
458	601	709
459	602	707
460	603	705
461	604	703
462	605	702
463	606	700
464	607	698
465	608	697
466	609	695
467	610	694
468	616	697
469	620	699
470	624	700
471	627	702
472	632	704
473	635	705
474	639	706
475	643	708
476	647	709
477	651	711
478	654	711
479	657	712
480	660	712
481	662	711
482	664	710
483	665	709
484	667	708
485	669	707
486	670	706
487	672	705
488	673	703
489	674	702
490	676	701
491	677	699
492	678	698
493	679	696
494	681	694
495	682	693
496	683	691
497	684	689
498	685	688
499	686	686
500	687	684
501	688	682
502	689	681
503	690	679
504	691	677
505	692	675
506	693	674
507	694	672
508	695	670
509	696	668
510	696	666
511	697	665
512	698	663
513	699	661
514	700	659
515	701	658
516	702	656
517	703	654
518	704	652
519	705	650
520	706	649
521	707	647
522	707	645
523	708	643
524	709	642
525	710	640
526	711	638
527	712	637
528	713	635
529	715	634
530	716	632
531	717	631
532	719	629
533	720	628
534	721	626
535	722	625
536	723	623
537	725	622
538	726	620
539	727	619
540	727	617
541	729	616
542	730	614
543	731	613
544	732	611
545	733	609
546	734	607
547	735	606
548	735	604
549	736	602
550	737	601
551	738	599
552	739	597
553	740	596
554	741	594
555	742	592
556	743	591
557	744	589
558	745	588
559	746	586
560	747	584
561	748	583
562	749	581
563	750	579
564	751	578
565	751	576
566	752	574
567	753	573
568	754	571
569	755	570
570	756	568
571	757	566
572	759	565
573	760	564
574	761	562
575	762	560
576	763	559
577	764	557
578	765	556
579	766	555
580	767	553
581	768	552
582	769	550
583	770	549
584	771	547
585	772	545
586	774	544
587	775	543
588	776	541
589	777	539
590	778	538
591	778	536
592	779	535
593	780	533
594	781	532
595	782	530
596	783	528
597	784	527
598	785	525
599	786	524
600	787	522
601	788	521
602	789	519
603	790	518
604	791	516
605	792	515
606	793	513
607	794	512
608	795	510
609	796	509
610	797	507
611	798	506
612	799	504
613	800	503
614	801	501
615	802	500
616	803	498
617	804	497
618	805	495
619	805	493
620	806	492
621	807	490
622	808	489
623	809	487
624	810	486
625	810	484
626	811	482
627	812	481
628	813	479
629	814	478
630	815	476
631	815	475
632	817	473
633	818	472
634	818	470
635	819	469
636	820	467
637	821	466
638	822	464
639	822	462
640	823	461
641	824	459
642	825	458
643	826	456
644	827	455
645	828	453
646	828	452
647	829	450
648	830	449
649	831	447
650	832	446
651	833	444
652	834	443
653	835	441
654	835	440
655	836	438
656	837	437
657	838	435
658	839	434
659	840	432
660	841	431
661	841	429
662	842	428
663	843	426
664	844	425
665	845	424
666	846	422
667	847	421
668	848	419
669	849	418
670	849	416
671	850	415
672	851	413
673	852	412
674	853	410
675	854	409
676	854	407
677	855	406
678	856	404
679	857	403
680	858	402
681	859	400
682	860	399
683	861	397
684	862	396
685	862	394
686	863	393
687	864	392
688	865	390
689	866	389
690	867	387
691	867	386
692	868	384
693	869	383
694	870	382
695	871	380
696	872	379
697	873	377
698	873	376
699	875	375
700	875	373
701	876	372
702	877	370
703	878	369
704	879	367
705	880	366
706	881	365
707	881	363
708	882	362
709	883	360
710	884	359
711	885	358
712	886	356
713	887	355
714	887	353
715	889	352
716	890	351
717	891	349
718	891	348
719	892	347
720	893	345
721	894	344
722	895	343
723	896	341
724	897	340
725	898	338
726	898	337
727	899	336
728	900	334
729	901	333
730	902	332
731	903	330
732	904	329
733	905	327
734	905	326
735	906	325
736	907	323
737	908	322
738	909	321
739	910	319
740	911	318
741	911	317
742	912	315
743	913	314
744	914	313
745	915	311
746	916	310
747	917	308
748	917	307
749	919	306
750	919	305
751	920	303
752	921	302
753	922	300
754	923	299
755	924	298
756	924	296
757	925	295
758	926	294
759	927	292
760	928	291
761	929	290
762	930	288
763	931	287
764	931	286
765	932	284
766	933	283
767	934	282
768	935	281
769	936	279
770	937	278
771	938	277
772	939	275
773	939	274
774	940	273
775	941	271
776	942	270
777	943	269
778	944	267
779	944	266
780	945	265
781	946	263
782	947	262
783	948	261
784	949	260
785	950	258
786	951	257
787	951	256
788	952	254
789	953	253
790	954	252
791	955	250
792	956	249
793	957	248
794	958	247
795	958	245
796	959	244
797	960	243
798	961	241
799	962	240
800	963	239
801	964	238
802	965	236
803	965	235
804	966	234
805	967	232
806	968	231
807	969	230
808	970	229
809	971	227
810	972	226
811	973	225
812	974	224
813	974	222
814	975	221
815	976	220
816	977	219
817	978	217
818	979	216
819	980	215
820	981	213
821	981	212
822	982	211
823	983	210
824	984	208
825	985	207
826	986	206
827	987	205
828	988	203
829	988	202
830	989	201
831	990	200
832	991	198
833	992	197
834	993	196
835	994	195
836	995	193
837	996	192
838	997	191
839	998	190
840	999	188
841	999	187
842	1000	186
843	1001	185
844	1002	183
845	1003	182
846	1004	181
847	1005	180
848	1006	178
849	1007	177
850	1007	176
851	1008	175
852	1009	174
853	1010	172
854	1011	171
855	1012	170
856	1013	169
857	1013	167
858	1014	166
859	1015	165
860	1016	164
861	1017	162
862	1018	161
863	1018	160
864	1020	159
865	1021	157
866	1021	156
867	1022	155
868	1023	154
869	1024	153
870	1025	151
871	1026	150
872	1027	149
873	1027	148
874	1028	146
875	1029	145
876	1030	144
877	1031	143
878	1032	142
879	1033	140
880	1034	139
881	1035	138
882	1035	137
883	1036	136
884	1037	134
885	1038	133
886	1039	132
887	1040	131
888	1041	129
889	1041	128
890	1042	127
891	1043	126
892	1044	125
893	1045	123
894	1046	122
895	1046	121
896	1047	120
897	1048	119
898	1049	117
899	1050	116
900	1051	115
901	1052	114
902	1053	113
903	1053	111
904	1054	110
905	1055	109
906	1056	108
907	1057	107
908	1058	105
909	1058	104
910	1059	103
911	1060	102
912	1061	101
913	1062	99
914	1063	98
915	1064	97
916	1065	96
917	1066	95
918	1066	94
919	1067	92
920	1068	91
921	1069	90
922	1070	89
923	1071	88
924	1071	86
925	1072	85
926	1073	84
927	1074	83
928	1075	82
929	1076	81
930	1077	79
931	1078	78
932	1079	77
933	1080	76
934	1081	75
935	1081	73
936	1082	72
937	1083	71
938	1084	70
939	1085	69
940	1086	68
941	1086	66
942	1087	65
943	1088	64
944	1089	63
945	1090	62
946	1091	61
947	1092	59
948	1093	58
949	1094	57
950	1095	56
951	1095	55
952	1096	54
953	1097	52
954	1098	51
955	1099	50
956	1100	49
957	1100	48
958	1101	47
959	1102	45
960	1103	44
961	1104	43
962	1105	42
963	1106	41
964	1107	40
965	1108	39
966	1109	37
967	1110	36
968	1111	35
969	1112	34
970	1112	33
971	1113	32
972	1114	30
973	1115	29
974	1116	28
975	1117	27
976	1118	26
977	1118	25
978	1119	24
979	1120	22
980	1121	21
981	1122	20
982	1123	19
983	1124	18
984	1125	17
985	1126	15
986	1127	14
987	1127	13
988	1128	12
989	1129	11
990	1130	10
991	1131	9
992	1131	7
993	1132	6
994	1133	5
995	1134	4
996	1135	3
997	1136	2
998	1137	1
999	1138	0
